Store,Discount,Form,Category,Locally Owned,Coordinates 1,Applicable
3 Brasseurs,15%,Student ID,Restaurant,,"45.49756, -73.57519",student
Poulet Rouge,15%,Student ID,Restaurant,,"45.49499051045618, -73.57832975965205",student
Ahi Poke,10% off,"MCSA, MECA, HKSN, MTSA",Restaurant,,"45.529860731324376, -73.57976051754693",student
Cuisine Formosa,10% off,"MCSA, MECA, HKSN, MTSA",Restaurant,,"45.49620467055416, -73.58068714261798",student
Délicieux Mei Mei,10% off,"MCSA, MECA, HKSN, MTSA",Restaurant,,"45.50820493500185, -73.55968437499419",student
Dobe and Andy,10% off,"MCSA, MECA, HKSN, MTSA",Restaurant,,"45.50747745011507, -73.56129080382992",student
Dondonya,10% off,"MCSA, MECA, HKSN, MTSA",Restaurant,,"45.49740501998397, -73.57735759218764",student
Ganadara (McGill),"10% off, 15% off for cash","MCSA, MECA, HKSN, MTSA",Restaurant,,"45.50486404124947, -73.5727769038301",student
Le Restaurant Dumpling Shop,10% off,"MCSA, MECA, HKSN, MTSA",Restaurant,,"45.510371063868675, -73.57503283266547",student
LiuYiShou,10% off,"MCSA, MECA, HKSN, MTSA",Restaurant,,"45.49681285630372, -73.57491627684482",student
Malatang ZhangLiang,10% off,"MCSA, MECA, HKSN, MTSA",Restaurant,,"45.508034129740864, -73.56025402102274",student
Pho Tay Ho,10% off,"MCSA, MECA, HKSN, MTSA",Restaurant,,"45.533941399510084, -73.60449560012832",student
Raviolis Impressions (Ste-Catherine W),10% off,"MCSA, MECA, HKSN, MTSA",Restaurant,,"45.50603226892277, -73.56701538848712",student
Resto Seoul,10% off,"MCSA, MECA, HKSN, MTSA",Restaurant,,"45.52277584461637, -73.57927627314325",student
Sansotei Ramen,10% off,"MCSA, MECA, HKSN, MTSA",Restaurant,,"45.53032794028218, -73.57884735624926",student
Thai Express (Parc),10% off,"MCSA, MECA, HKSN, MTSA",Restaurant,,"45.51034212934857, -73.57514883081541",student
Tsukuiyomi (Mile end),10% off,"MCSA, MECA, HKSN, MTSA",Restaurant,,"45.52426127183335, -73.59476877499321",student
Dodonya,10% off,Codejam Shirt,Restaurant,,"45.4975103039038, -73.57733613451617",student
Allo Daisy,10% off,"MCSA, MECA, HKSN, MTSA",Drinks/Desserts,,"45.51731690617989, -73.55921000382928",student
Coco Bubble Tea (St-Catherine W),10% off,"MCSA, MECA, HKSN, MTSA",Drinks/Desserts,,"45.49690967834423, -73.57588675965205",student
Dessert Coréen Crofre,15% off in-person,"MCSA, MECA, HKSN, MTSA",Drinks/Desserts,,"45.47799268805168, -73.5860847144436",student
GongCha,15% off,"MCSA, MECA, HKSN, MTSA",Drinks/Desserts,,"45.511754993097625, -73.56330259750344",student
Matcha Zanmai,10% off,"MCSA, MECA, HKSN, MTSA",Drinks/Desserts,,"45.496153844188726, -73.57755677314485",student
Nos Thés,10% off,"MCSA, MECA, HKSN, MTSA",Drinks/Desserts,,"45.49510772438699, -73.57823001732349",student
OCHA,15% off,"MCSA, MECA, HKSN, MTSA",Drinks/Desserts,,"45.49457682594679, -73.57889781917358",student
Salon Thé Chai (Parc),10% off,"MCSA, MECA, HKSN, MTSA",Drinks/Desserts,,"45.50972389343936, -73.57396824615839",student
Tsujuri,10% off,"MCSA, MECA, HKSN, MTSA",Drinks/Desserts,,"45.49755185778697, -73.57659424800902",student
Zoe Dessert,10% off,"MCSA, MECA, HKSN, MTSA",Drinks/Desserts,,"45.495136468611655, -73.5814720903378",student
